quest_id,quest_title,quest_bucket,quest_completion_status,quest_link_status,jabbithole_quest_objective_id,jabbithole_quest_id,jabbithole_quest_name,client_quest_name,objective_order,quest_objective_id,match_status,jabbithole_objective_text,client_objective_text,objective_type,objective_data,objective_count,quest_direction_id,world_location_0,world_location_1,world_location_2,world_location_3,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
2563,[DEPRECATED] Lopp Love Horns!,generic_table_driven,not_retail_complete,current_quest,5639,298,[DEPRECATED] Lopp Love Horns!,,0,3119,matched,Talk to,,3,7321,1,0,0,0,0,0,4,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 5639 for Quest2 2563 objective order 0 with source text 'Talk to' maps to current QuestObjective 3119 type 3 data 7321 count 1. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
2581,Bringing in the Harvest,generic_table_driven,not_retail_complete,current_quest,1064,756,Bringing in the Harvest,Bringing in the Harvest,0,3050,matched,Collect Bingberries using a Gravitic Destabilizer in the Bingberry Orchard,Collect Bingberries using a $(creature=25167) in the Bingberry Orchard,5,5569,15,0,9353,0,0,0,3,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 1064 for Quest2 2581 objective order 0 with source text 'Collect Bingberries using a Gravitic Destabilizer in the Bingberry Orchard' maps to current QuestObjective 3050 type 5 data 5569 count 15 and client text 'Collect Bingberries using a $(creature=25167) in the Bingberry Orchard'. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
2581,Bringing in the Harvest,generic_table_driven,not_retail_complete,current_quest,1065,756,Bringing in the Harvest,Bringing in the Harvest,1,14706,matched,Collect Bingberries,,32,554,15,0,0,0,0,0,3,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 1065 for Quest2 2581 objective order 1 with source text 'Collect Bingberries' maps to current QuestObjective 14706 type 32 data 554 count 15. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,1090,772,Emergency Broadcast,Emergency Broadcast,0,3074,matched,Upload Governor Aluviel's message at the Bingberry Orchard,Upload $p(creature=7030) message at the Bingberry Orchard,12,7189,1,0,4992,0,0,0,3,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 1090 for Quest2 2599 objective order 0 with source text 'Upload Governor Aluviel's message at the Bingberry Orchard' maps to current QuestObjective 3074 type 12 data 7189 count 1 and client text 'Upload $p(creature=7030) message at the Bingberry Orchard'. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,1091,772,Emergency Broadcast,Emergency Broadcast,1,3077,matched,Upload Governor Aluviel's message at Hycrest Corral,Upload $p(creature=7030) message at Hycrest Corral,12,7191,1,0,4993,0,0,0,3,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 1091 for Quest2 2599 objective order 1 with source text 'Upload Governor Aluviel's message at Hycrest Corral' maps to current QuestObjective 3077 type 12 data 7191 count 1 and client text 'Upload $p(creature=7030) message at Hycrest Corral'. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,1092,772,Emergency Broadcast,Emergency Broadcast,2,3076,matched,Upload Governor Aluviel's message at Greenfield,Upload $p(creature=7030) message at Greenfield,12,7190,1,0,4990,0,0,0,3,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 1092 for Quest2 2599 objective order 2 with source text 'Upload Governor Aluviel's message at Greenfield' maps to current QuestObjective 3076 type 12 data 7190 count 1 and client text 'Upload $p(creature=7030) message at Greenfield'. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
3142,[Discovery Prototype] Broken Weapon,generic_table_driven,not_retail_complete,current_quest,557,333,[Discovery Prototype] Broken Weapon,[Discovery Prototype] Broken Weapon,0,4095,matched,Collect the missing weapon pieces,Collect the missing weapon pieces,4,6034,1,0,0,0,0,0,3,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 557 for Quest2 3142 objective order 0 with source text 'Collect the missing weapon pieces' maps to current QuestObjective 4095 type 4 data 6034 count 1 and client text 'Collect the missing weapon pieces'. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
3160,Cornered Prey,generic_table_driven,not_retail_complete,current_quest,6884,950,Cornered Prey,Cornered Prey,0,4163,matched,Steal Explosive Charges from crates lying around Jagged Rock Cove,Steal $m(vitem=38) from crates lying around Jagged Rock Cove,32,38,3,0,6928,6929,7531,0,6,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 6884 for Quest2 3160 objective order 0 with source text 'Steal Explosive Charges from crates lying around Jagged Rock Cove' maps to current QuestObjective 4163 type 32 data 38 count 3 and client text 'Steal $m(vitem=38) from crates lying around Jagged Rock Cove'. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
3160,Cornered Prey,generic_table_driven,not_retail_complete,current_quest,6885,950,Cornered Prey,Cornered Prey,1,4164,matched,Steal an Explosives Detonator from the mining supplies around Jagged Rock Cove,Steal an $(vitem=37) from the mining supplies around Jagged Rock Cove,32,37,1,0,18934,18935,18936,0,6,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 6885 for Quest2 3160 objective order 1 with source text 'Steal an Explosives Detonator from the mining supplies around Jagged Rock Cove' maps to current QuestObjective 4164 type 32 data 37 count 1 and client text 'Steal an $(vitem=37) from the mining supplies around Jagged Rock Cove'. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
3160,Cornered Prey,generic_table_driven,not_retail_complete,current_quest,6886,950,Cornered Prey,Cornered Prey,2,4114,matched,Plant Explosive Charges on the engines of the Exile Ship,Plant Explosive Charges on the engines of the Exile Ship,14,858,2,0,6930,0,0,0,6,datamapping_jabbithole_objective_matched_pending_text_order_smoke,Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_objectives.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"Jabbithole objective 6886 for Quest2 3160 objective order 2 with source text 'Plant Explosive Charges on the engines of the Exile Ship' maps to current QuestObjective 4114 type 14 data 858 count 2 and client text 'Plant Explosive Charges on the engines of the Exile Ship'. Retail completion needs text/order reconciliation against the current client row, runtime trigger behavior, objective-credit ownership, and client quest smoke."
