content_type,world_id,name,asset_path,world_type,reward_rotation_content_id,public_event_ids,public_event_objective_count,matching_game_map_ids,matching_game_type_ids,match_type_enums,achievement_category_ids,related_achievement_ids,script_paths,script_owner_ids,milestone_scope,milestone_scope_reason,implementation_status,evidence_status,completion_status,evidence_sources,manual_validation,blocker_summary
dungeon,382,Stormtalon's Lair,Map\EthnDunon,11,12,145,27,10;15;123,7;81;87,1;10;14,166,2414;3462,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairMapScript.cs,382,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP dungeon scaffold; Blade-Wind the Invoker 312, Aethros 313, Thundercall Pell Zealot rush 539, High Priest trigger creation/credit/cleanup 540, Tainted Flower Stem 554 reviewed placements and checklist credit, Thundercall Data Altar 555 reviewed placement and checklist credit, Thundercall Storm Totem 562 reviewed placements and activation credit, Thundercall Cage 464 reviewed placements and checklist credit, Eliminate Thundercall Pell 557, Improvement Construction Platform 558 and Invoker's Holocrypt 4867 reviewed platform placement and activation credit, timed Thundercall Pell bonus 843, grenade-disable objective 561 activation-only, Launch Pads 559 reviewed placements and activation credit, optional Arcanist Breeze-Binder 556, optional Overseer Drift-Catcher 828, and Stormtalon final-boss direct credit 314 are test-backed from their build 16042 TargetGroup / Creature2 / script-objective bindings and reviewed placement slices where recorded. Residual script/bonus rows 842, 844, 1692, 2380-2382, 2487, 3201, 5177, and 5343 are mapped-only with concrete blockers for missing party-death, tornado/hazard, blank TalkTo, boss challenge, timed medal, rookie reward, or TargetGroup mismatch proof. Exact Stormtalon combat, cinematic payload, optional route weights, wave spawn/count/cadence, boss spawn/version selection, timed bonus route validation, grenade spell/disable credit semantics, route visual/despawn states, rewards, achievements, and manual dungeon smoke remain blocked."
expedition,1232,Infestation,Map\ShiphandInfestation,1,18,95,12,74;81;117,60;82;88,8;11;15,275,3714;4179;6007;6023,Source\NexusForever.Script.Instance\Expedition\Infestation\InfestationMapScript.cs,1232,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP expedition scaffold; Infestation Ship Vents 228, Medical Supplies 230, Contaminated Shiphand healing 231, Hull Breaches 1007, Cargo Containers 4699, and the Lashing Fiend medbay attack objective 4698 now have jabbithole-backed reviewed placements plus target-group/checklist/direct/death objective credit, Lumbering Parasite 229 and Cyclopean Parasite 1500 objective producers are test-backed from build 16042 target-group/objective text data, and gold-medal timer 4703 has test-backed activation and final credit. Residual script/trigger rows 1006 and 1438 are mapped-only with concrete blockers for missing shiphand-rescue release semantics and Medical Bay trigger object 4899 placement. Reviewed rotations/despawn visual state, the three extra jabbithole hull-breach coordinates, stale/zero-vector contaminated-shiphand coordinates, exact medicine cast/visual state, exact Lashing Fiend wave/choreography beyond the single count-one placement, parasite route selection, spawn timing, combat choreography, trigger timing, timer/reward semantics, real cinematic payload, rewards, and manual expedition smoke remain blocked."
dungeon,1263,Skullcano,Map\Skullcano,11,13,148,33,8;14;124,11;81;87,1;10;14,66,5293;5294;5295;5296;5297,Source\NexusForever.Script.Instance\Dungeon\Skullcano\SkullcanoMapScript.cs,1263,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP dungeon scaffold; opening Stew-Shaman Tugga and Thunderfoot boss producers 321/322, FreeCapturedLopp Grim-Grim Foe Sack producer 335, Gather Shiny Gold Objects Gold-covered Treasure producer 333, Gold-Infused Lava Node death-credit producer 338, Molten Chasm Monitoring Station producer 364, Chief Kaskalak TalkTo producer 820, Rid Skullcano of Marauders nested TargetGroup kill-credit producer 334, lava-chasm route trigger 329, Find Chief direct trigger 362, Redmoon platform gather trigger 372, Eldan Terraformer route trigger 376, Redmoon Cluster Missile Launch Panel producer 365, Bosun Octog boss producer 323, Quartermaster Gruh'ar boss producer 440, and Mordechai Redmoon final-boss producer 324 are test-backed from build 16042 TargetGroup / Creature2 / PublicEventObjective / WorldLocation2 data. Escort objective 328 and remaining script/bonus rows 336, 337, 339/340, 838-841, 941-944, 1989, 3203, 5179, and 5345 are mapped-only with concrete blockers for missing jailor/release, essence collection, path-selector, heat/deathless/hazard, boss challenge, talk target, medal timer, rookie reward, or TargetGroup mismatch proof. Exact Skullcano boss mechanics, Tugga failure condition, terraformer script-objective timing, cave/chasm route weights, Chief Kaskalak choreography, trigger owner reconciliation, doors/platforms, communicator timing, optional objective availability, Gold-Infused Lava Node spawn/count/route timing, monitoring station placement/visual state, Redmoon Marauder spawn/count/route timing, panel/sack/treasure placement and visual/despawn state, missile side effects, rewards, achievements, and manual dungeon smoke remain blocked."
dungeon,1271,Sanctuary of the Swordmaiden,Map\TorineDungeon,11,14,166;202,52,12;17;125,69;81;87,1;10;14,169,2639;3464;5306;5307;5308;5309;5310;5311,Source\NexusForever.Script.Instance\Dungeon\SanctuaryOfTheSwordmaiden\SanctuaryOfTheSwordmaidenMapScript.cs,1271,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP dungeon scaffold; Deadringer Shallaos 479, opening Eliminate Zealous Torine 495, Rayna Darkspeaker 486, Moldwood Overlord Skash 483, Skash prisoner timer 1504, Hammerfist Moldjaw 1366, Corrupted Edgesmith Torian 493, Corrupted Lifecaller Khalee 494, Corrupted Deathbringer Dareia 500, Ondu Lifeweaver 480, Lifeweaver Guardian 629, Spiritmother Selene the Corrupted 492, and Elder Moldwood Ravager 639 boss/miniboss death producers plus Torine Spirit-Relic producer 481, Spirit-Relic Holder placement producer 482, Lifeweaver Tech Cluster producer 496, Torine Totem of Flame producer 499, Soul Spore objective 497, and distracted Moldwood Mauler objective 627 are test-backed from build 16042 TargetGroup / Creature2 / public-event creature evidence. Selene escort 662, totem-dodge challenge 1503, and relic no-fall challenge 2211 are activation-only runtime scaffold rows pending completion/failure producer proof; residual side-event ritual, hidden teleporter/controller, deathless/timer/rookie, kill-count, and boss-achievement rows are mapped-only with concrete missing producer/client-smoke blockers. Exact Swordmaiden boss/miniboss mechanics, route weights/objectives, spawn placement/version selection, relic/cluster/totem placement and visual/despawn state, trigger placement, doors, communicator timing, rewards, achievements, and manual dungeon smoke remain blocked."
expedition,1319,Outpost M-13,Map\ShiphandAsteroidMining,1,19,108,19,73;80;116,59;82;88,8;11;15,274,1922;1937;4184;4246;4247;4248;4249;6006;6021,Source\NexusForever.Script.Instance\Expedition\OutpostM13\OutpostM13MapScript.cs,1319,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP expedition scaffold; Outpost M-13 Exit Panel objective 262 activation and TargetGroup 5294 credit are test-backed from build 16042 PublicEventObjective/TargetGroup/Creature2/WorldLocation2 data. Captain Milo 1441, Foreman Krause 1440, mine cleanup 256, Hive Queen 257, and gold-medal timer 4702 are test-backed by existing talk/death-credit/timer scripts. Accelerite defense 252, Search the Mine 1439, Mining Charges 4696, and bonus Marauders 4697 remain mapped-only with concrete missing defense, trigger, script-object, and wave-credit producer evidence. Exact shuttle teleport/destination behavior, visual/despawn state, route choreography, spawn density, timer/reward semantics, rewards, achievements, and manual expedition smoke remain blocked."
raid,1333,Datascape,Map\Datascape,9,0,157,100,,,,,,Source\NexusForever.Script.Instance\Raid\Datascape\DatascapeMapScript.cs,1333,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP raid scaffold; opening System Daemons and Optimized Memory Probe rows 385/648/649/650 are runtime-backed by tested activation, reviewed spawns, and objective-credit entity scripts. Route activation/checklist rows 386/391/392/394/395/396/397/398/1876/1883/1884/2048/2049 are mapped-only pending row-specific completion producers. Remaining resource, timer, challenge, hazard, room, and raid-mechanics rows are mapped-only with concrete blockers. Datascape Hydroflux/Mnemesis mechanics, communicator/cinematic timing, encounter choreography, doors/triggers, wing order, challenge mechanics, rewards, achievements, and manual raid smoke remain blocked."
dungeon,1336,Ruins of Kel Voreth,Map\OsunDungeon,11,15,161,24,11;16;113,68;81;87,1;10;14,172,2637;3463;5299;5300;5301;5302;5303;5304;5305,Source\NexusForever.Script.Instance\Dungeon\RuinsOfKelVoreth\RuinsOfKelVorethMapScript.cs,1336,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP dungeon scaffold; Grond the Corpsemaker 444 and Slavemaster Drokk 446 main boss producers, Forgemaster Trogun 449 final boss producer, Darkwitch Gurka miniboss producer 453, powerful Battlesworn/Darkwitch Osun producer 447, plus Eldan Schematic Data Storage 456, Kel Voreth War Supplies 451, Eldan Phase Monitor 459, and Kel Voreth Forge 461 checklist activation producers are test-backed from build 16042 TargetGroup / Creature2/script evidence. Drokk exo-defense challenge row 847 is activation-only pending failure/credit proof, while residual health-station, hidden jump puzzle, challenge, timer, rookie, and kill-count rows are mapped-only with concrete missing producer/client-smoke blockers. Exact Kel Voreth boss mechanics, trigger placement, doors, optional routes, spawn placement/count/cadence, interactable placement/visual state, faction communicator targeting, real cinematic payload, rewards, achievements, and manual dungeon smoke remain blocked."
raid,1462,Genetic Archives,Map\GeneticArchives,9,0,159,51,,,,,,Source\NexusForever.Script.Instance\Raid\GeneticArchives\GeneticArchivesMapScript.cs,1462,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP raid scaffold; selected boss, malfunctioning miniboss, guardian, and branch endpoint anchors are runtime-backed where separately listed. Route activation rows 415/416/2452/2453/2454/2493 are mapped-only pending completion producers, and the remaining power-core, genetic collection, challenge, timer, immortal, and raid-mechanics rows are mapped-only with concrete blockers. Genetic Archives boss mechanics, Kuralak pillar behavior, communicator/cinematic timing, weekly/random selection, choreography, doors/elevators, rewards, achievements, and manual raid smoke remain blocked."
expedition,1627,Rage Logic,Map\ShiphandRageLogic,1,20,213;214,17,75;82;118,61;82;88,8;11;15,276,3713;4178;6008;6022,Source\NexusForever.Script.Instance\Expedition\RageLogic\RageLogicMapScript.cs,1627,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP expedition scaffold; vehicle-choice row 781, asteroid Ragebot assault row 783, and asteroid thruster row 784 are runtime-backed by the side-event/main-event scripts plus focused vehicle, checklist, and death-credit tests. Factory, Freebot, teleporter, Axiom, scanner, relay, simultaneous-kill, hoverbike, and gold-timer rows are mapped-only with concrete blockers for missing later-route producers and client smoke. Rage Logic event routing, rewards, objective timing, and manual expedition smoke remain blocked."
expedition,2149,Space Madness,Map\ShiphandSpaceMadness,1,21,390,26,76;83;119,62;82;88,8;11;15,277,3716;4180;6009;6024,Source\NexusForever.Script.Instance\Expedition\SpaceMadness\SpaceMadnessMapScript.cs,2149,milestone_target_instance,"Dungeon, expedition, raid, or World Story instance content is inside the restoration milestone, while retail completion still requires row-specific proof.",mapped_wip_scaffold,mapped_only_pending_manual_smoke,not_retail_complete,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/MatchingGame*.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_*_SMOKE_REVIEW.md;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,"Mapped/WIP expedition scaffold; Captain Tero 1579, Major Lee Barmy 1588, Observation Deck Computer 1589, Hallucinating Venture Worker air-helm objective 1594, Hazmat Control Panel 1592/4736, Hazmat Suit equip objective 1656, Air Scrubber Controls 1595, Crew Datapads 1596, Engineering Computer 1603, and gold-medal timer 4705 objective producers are test-backed from build 16042 target groups/script rows. Residual script/challenge rows 1662, 2115, and 4708 are mapped-only with concrete blockers for missing hallucination wave-counter producers, air-scrubbing wave/timer producer, and volatile Rowsdower explosion failure tracking. Reviewed NPC/console/control placement/import smoke, door/trigger/teleport proof, communicator timing, timer/reward semantics, real cinematic payload, rewards, and manual expedition smoke remain blocked."
