owner_id,quest_id,quest_title,quest_bucket,quest_completion_status,quest_link_status,script_kind,script_class,script_path,owner_ids_on_attribute,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
51,,,,,non_quest_script_owner,map_script,GalerasMapScript,Source\NexusForever.Script.Main\Quests\Galeras\GalerasMapScript.cs,51,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
154,,,,,non_quest_script_owner,public_event_script,DominionUltrabotPublicEventScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\DominionUltrabotPublicEventScript.cs,154,runtime_public_event_script_owner_pending_event_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
426,,,,,non_quest_script_owner,map_script,NorthernWildsMapScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\NorthernWildsMapScript.cs,426,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
870,,,,,non_quest_script_owner,map_script,MapScript,Source\NexusForever.Script.Main\Example\MapScript.cs,870,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
870,,,,,non_quest_script_owner,map_script,CrimsonIsleMapScript,Source\NexusForever.Script.Main\Quests\CrimsonIsle\CrimsonIsleMapScript.cs,870,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
990,,,,,non_quest_script_owner,map_script,EverstarGroveMapScript,Source\NexusForever.Script.Main\Quests\EverstarGrove\EverstarGroveMapScript.cs,990,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
1387,,,,,non_quest_script_owner,map_script,LevianBayMapScript,Source\NexusForever.Script.Main\Quests\LevianBay\LevianBayMapScript.cs,1387,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
1658,,,,,non_quest_script_owner,map_script,ExilePathHubMapScript,Source\NexusForever.Script.Main\Quests\Paths\PathMapScripts.cs,1658,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
2979,,,,,non_quest_script_owner,map_script,DominionPathZoneMapScript,Source\NexusForever.Script.Main\Quests\Paths\PathMapScripts.cs,2979,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
2997,,,,,non_quest_script_owner,map_script,ExilePathZoneMapScript,Source\NexusForever.Script.Main\Quests\Paths\PathMapScripts.cs,2997,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
3460,,,,,non_quest_script_owner,map_script,TutorialMapScript,Source\NexusForever.Script.Main\Tutorial\TutorialMapScript.cs,3460,runtime_map_script_owner_pending_zone_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,ScriptFilterOwnerId does not match a current Quest2 row; tracked as related Script.Main runtime content pending owner-family evidence and smoke before it can support quest retail-completeness claims.
3479,3479,From the Wreckage,curated_full,not_retail_complete,current_quest,quest_script,Q3479FromTheWreckageQuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3479FromTheWreckage.cs,3479,runtime_curated_quest_script_pending_manual_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Quest script hook is tracked, but retail completion needs objective/follow-up behavior proof, reward and achievement side effects, automated coverage, and client/manual smoke."
3480,3480,Reporting for Duty,curated_full,not_retail_complete,current_quest,quest_script,Q3480QuestScript,Source\NexusForever.Script.Main\Quests\NorthernWilds\Q3480.cs,3480,runtime_curated_quest_script_pending_manual_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;Tools/WikiArchiveAudit/quest_implementation_audit.py;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Quest script hook is tracked, but retail completion needs objective/follow-up behavior proof, reward and achievement side effects, automated coverage, and client/manual smoke."
