quest_id,quest_name,quest_bucket,quest_completion_status,dependency_type,dependency_slot,dependency_id,dependency_name,dependency_value,dependency_flags,object_id,comparison_id,prerequisite_type_id,localized_failure_text,support_status,evidence_status,completion_status,evidence_sources,manual_validation,blocker_summary
1177,Home on the Range,no_objectives,not_retail_complete,level,,,,3,,,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_level_gate_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1177 requires character level 3. Retail completion needs quest visibility, accept-denial text, progression-chain behavior, and client smoke for this exact level gate."
1177,Home on the Range,no_objectives,not_retail_complete,preq_flags,,,,,8,,,,,mapped_client_flag_dependency_pending_semantic_smoke,client_quest2_preq_flags_pending_semantic_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1177 carries Quest2 preq_flags 8. Retail completion needs the flag semantics, visibility behavior, accept denial, and client smoke verified for this row."
1177,Home on the Range,no_objectives,not_retail_complete,quest_faction,,0,Exile,,,0,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_questPlayerFactionEnum_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1177 requires questPlayerFactionEnum 0 (Exile). Retail completion needs faction-specific visibility, accept denial, dialog availability, and client quest smoke."
1804,,generic_table_driven,not_retail_complete,level,,,,1,,,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_level_gate_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1804 requires character level 1. Retail completion needs quest visibility, accept-denial text, progression-chain behavior, and client smoke for this exact level gate."
1805,,generic_table_driven,not_retail_complete,level,,,,1,,,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_level_gate_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1805 requires character level 1. Retail completion needs quest visibility, accept-denial text, progression-chain behavior, and client smoke for this exact level gate."
1806,,generic_table_driven,not_retail_complete,level,,,,1,,,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_level_gate_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1806 requires character level 1. Retail completion needs quest visibility, accept-denial text, progression-chain behavior, and client smoke for this exact level gate."
1807,,generic_table_driven,not_retail_complete,level,,,,1,,,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_level_gate_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1807 requires character level 1. Retail completion needs quest visibility, accept-denial text, progression-chain behavior, and client smoke for this exact level gate."
1808,,generic_table_driven,not_retail_complete,level,,,,1,,,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_level_gate_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1808 requires character level 1. Retail completion needs quest visibility, accept-denial text, progression-chain behavior, and client smoke for this exact level gate."
1809,,generic_table_driven,not_retail_complete,level,,,,1,,,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_level_gate_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1809 requires character level 1. Retail completion needs quest visibility, accept-denial text, progression-chain behavior, and client smoke for this exact level gate."
1812,,generic_table_driven,not_retail_complete,level,,,,1,,,,,,mapped_quest_accept_validation_pending_row_smoke,client_quest2_level_gate_pending_accept_smoke,not_retail_complete,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Prerequisite.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Prerequisite/PrerequisiteManager.cs,pending_or_not_applicable,"Quest2 1812 requires character level 1. Retail completion needs quest visibility, accept-denial text, progression-chain behavior, and client smoke for this exact level gate."
