quest_id,quest_title,quest_bucket,quest_completion_status,quest_link_status,episode_quest_id,episode_id,episode_name,order_index,flags,episode_bridge_status,episode_match_status,jabbithole_episode_id,jabbithole_episode_name,client_episode_name,client_world_zone_id,client_world_zone_name,slug,episode_quests_count,enabled,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,811,,,0,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 811 references Quest2 0, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,812,,,0,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 812 references Quest2 0, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,813,,,0,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 813 references Quest2 0, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,814,,,0,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 814 references Quest2 0, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
812,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,1,1,World Tasks,1,0,mapped_episode,matched,1,World Tasks,World Tasks,0,,tasks-1,2809,true,7,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1 references Quest2 812, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
813,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,2,1,World Tasks,2,0,mapped_episode,matched,1,World Tasks,World Tasks,0,,tasks-1,2809,true,7,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 2 references Quest2 813, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
814,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,3,1,World Tasks,3,0,mapped_episode,matched,1,World Tasks,World Tasks,0,,tasks-1,2809,true,7,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 3 references Quest2 814, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
625,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,174,48,Steven Test Daily Episode,1,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 174 references Quest2 625, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
1180,,non_current_client_quest_reference,not_retail_complete,non_current_client_quest_reference,175,48,Steven Test Daily Episode,1,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_not_current_client_quest_row_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 175 references Quest2 1180, but that quest id is not present in the current client Quest2 table. The row remains blocked until current build Quest2 evidence recovers the quest, or the episode relation is rejected as stale DataMapping evidence after review."
3130,Planning the Battle,no_objectives,not_retail_complete,current_quest,1549,299,War with the Crowe,0,0,missing_episode_bridge,missing_episode_bridge,,,,,,,,,,datamapping_episode_quest_missing_episode_bridge_blocked,Tools/DataMapping/output/episode_quest_client_map.csv;Tools/DataMapping/output/quest_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_episodes.sql;wildstar_client_mysql/Episode.tbl.sql;wildstar_client_mysql/EpisodeQuest.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"EpisodeQuest row 1549 links Quest2 3130 order 0 flags 0 to Episode 299 (War with the Crowe), but Tools/DataMapping/output/quest_episode_map.csv has no bridge from that current Episode id to a Jabbithole quest episode. Retail implementation needs a current Episode/EpisodeQuest bridge reconciled with jabbithole_mysql/quest_episodes.sql or a reviewed replacement episode bridge, followed by quest order, episode visibility/progression, UI, and quest-chain smoke."
