"finding_id","lane","priority","status","finding_type","scope","source_inventory","source_row_key","related_ids","tracker_paths","evidence_sources","confidence","blocker_summary","next_action","notes"
"2026-06-19-q5597-chua-explosives-indicator-17899-activation-ui-smoke-review","Quest inventory/objective coverage","P0","open","tracker_refinement","quest 5597 Dregs and Thieves","content_retail_completeness_quest_world_dependencies.csv","quest_id=5597;dependency_source=QuestObjective.worldLocationsIdIndicator;dependency_type=objective_indicator_location;dependency_id=8256:worldLocationsIdIndicator03:17899;objective_id=8256;objective_type=32;source_slot=worldLocationsIdIndicator03;world_location_id=17899;world_id=870;world_zone_id=1325;quest_direction_id=;quest_direction_entry_id=;target_group_id=;target_group_type=;target_group_data=;prerequisite_id=","Quest2 5597;QuestObjective 8256;WorldLocation2 17899;WorldZone 1325 Scarhide Camp;VirtualCollect 364;TargetGroup 4373;Creature2 24286 Chua Explosives;world 870;Q5596;Q5604","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_queue.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5597.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game/Entity;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md","High for emulator indicator spawn and virtual collect credit; Blocked for client map/activation UI smoke","Q5597 objective 8256 indicator worldLocationsIdIndicator03 points to WorldLocation2 17899 in world 870, WorldZone 1325 Scarhide Camp at -7144,-995.343,-1008.03 with radius 55 and all phases 4294967295. Objective 8256 is the build 16042 VirtualCollect data 364 count 6, and TargetGroup 4373 contains Creature2 24286 Chua Explosives. CrimsonIsleMapScript fallback-spawns 30 reviewed Chua Explosives placements in world 870 area 1218; focused tests load all 30 fallbacks, credit virtual item 364 on activation while Q5597 is accepted, remove each entity, reject missing-quest activation, and avoid duplicate credit. Q5597 remains not retail complete pending live build 16042 proof that indicator 17899 appears/routes correctly, Chua Explosives activation/objective UI smoke, Scarhide Camp density/placement confirmation, despawn/respawn visual state, duplicate/negative cases, Mondo dialog, reward/achievement UI, and end-to-end Q5596->Q5597->Q5604 smoke.","Keep Q5597 not retail complete; capture client/manual indicator 17899 visibility and routing, Chua Explosives activation/objective UI, Scarhide Camp density/placement, despawn/respawn visual state, duplicate/negative cases, Mondo dialog, reward/achievement UI, and full Q5596->Q5597->Q5604 smoke.","Generator/test update 2026-06-19; CreateBundleOnly worksheet artifacts/blocker_evidence/20260619-161627-quest-5597-chua-explosives-indicator-17899-activation-ui-smoke-review."
"2026-06-19-q5597-chua-explosives-indicator-17897-activation-ui-smoke-review","Quest inventory/objective coverage","P0","open","tracker_refinement","quest 5597 Dregs and Thieves","content_retail_completeness_quest_world_dependencies.csv","quest_id=5597;dependency_source=QuestObjective.worldLocationsIdIndicator;dependency_type=objective_indicator_location;dependency_id=8256:worldLocationsIdIndicator02:17897;objective_id=8256;objective_type=32;source_slot=worldLocationsIdIndicator02;world_location_id=17897;world_id=870;world_zone_id=1325;quest_direction_id=;quest_direction_entry_id=;target_group_id=;target_group_type=;target_group_data=;prerequisite_id=","Quest2 5597;QuestObjective 8256;WorldLocation2 17897;WorldZone 1325 Scarhide Camp;VirtualCollect 364;TargetGroup 4373;Creature2 24286 Chua Explosives;world 870;Q5596;Q5604","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_queue.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5597.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game/Entity;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md","High for emulator indicator spawn and virtual collect credit; Blocked for client map/activation UI smoke","Q5597 objective 8256 indicator worldLocationsIdIndicator02 points to WorldLocation2 17897 in world 870, WorldZone 1325 Scarhide Camp at -7270.21,-992.368,-828.018 with radius 55 and all phases 4294967295. Objective 8256 is the build 16042 VirtualCollect data 364 count 6, and TargetGroup 4373 contains Creature2 24286 Chua Explosives. CrimsonIsleMapScript fallback-spawns 30 reviewed Chua Explosives placements in world 870 area 1218; focused tests load all 30 fallbacks, credit virtual item 364 on activation while Q5597 is accepted, remove each entity, reject missing-quest activation, and avoid duplicate credit. Q5597 remains not retail complete pending live build 16042 proof that indicator 17897 appears/routes correctly, Chua Explosives activation/objective UI smoke, Scarhide Camp density/placement confirmation, despawn/respawn visual state, duplicate/negative cases, Mondo dialog, reward/achievement UI, and end-to-end Q5596->Q5597->Q5604 smoke.","Keep Q5597 not retail complete; capture client/manual indicator 17897 visibility and routing, Chua Explosives activation/objective UI, Scarhide Camp density/placement, despawn/respawn visual state, duplicate/negative cases, Mondo dialog, reward/achievement UI, and full Q5596->Q5597->Q5604 smoke.","Generator/test update 2026-06-19; CreateBundleOnly worksheet artifacts/blocker_evidence/20260619-160917-quest-5597-chua-explosives-indicator-17897-activation-ui-smoke-review."
"2026-06-19-q5597-chua-explosives-indicator-17898-activation-ui-smoke-review","Quest inventory/objective coverage","P0","open","tracker_refinement","quest 5597 Dregs and Thieves","content_retail_completeness_quest_world_dependencies.csv","quest_id=5597;dependency_source=QuestObjective.worldLocationsIdIndicator;dependency_type=objective_indicator_location;dependency_id=8256:worldLocationsIdIndicator01:17898;objective_id=8256;objective_type=32;source_slot=worldLocationsIdIndicator01;world_location_id=17898;world_id=870;world_zone_id=1325;quest_direction_id=;quest_direction_entry_id=;target_group_id=;target_group_type=;target_group_data=;prerequisite_id=","Quest2 5597;QuestObjective 8256;WorldLocation2 17898;WorldZone 1325 Scarhide Camp;VirtualCollect 364;TargetGroup 4373;Creature2 24286 Chua Explosives;world 870;Q5596;Q5604","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_queue.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5597.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game/Entity;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md","High for emulator indicator spawn and virtual collect credit; Blocked for client map/activation UI smoke","Q5597 objective 8256 indicator worldLocationsIdIndicator01 points to WorldLocation2 17898 in world 870, WorldZone 1325 Scarhide Camp at -7022.49,-995.437,-946.002 with radius 55 and all phases 4294967295. Objective 8256 is the build 16042 VirtualCollect data 364 count 6, and TargetGroup 4373 contains Creature2 24286 Chua Explosives. CrimsonIsleMapScript fallback-spawns 30 reviewed Chua Explosives placements in world 870 area 1218; focused tests load all 30 fallbacks, credit virtual item 364 on activation while Q5597 is accepted, remove each entity, reject missing-quest activation, and avoid duplicate credit. Q5597 remains not retail complete pending live build 16042 proof that indicator 17898 appears/routes correctly, Chua Explosives activation/objective UI smoke, Scarhide Camp density/placement confirmation, despawn/respawn visual state, duplicate/negative cases, Mondo dialog, reward/achievement UI, and end-to-end Q5596->Q5597->Q5604 smoke.","Keep Q5597 not retail complete; capture client/manual indicator 17898 visibility and routing, Chua Explosives activation/objective UI, Scarhide Camp density/placement, despawn/respawn visual state, duplicate/negative cases, Mondo dialog, reward/achievement UI, and full Q5596->Q5597->Q5604 smoke.","Generator/test update 2026-06-19; CreateBundleOnly worksheet artifacts/blocker_evidence/20260619-155949-quest-5597-chua-explosives-indicator-17898-activation-ui-smoke-review."
"2026-06-19-q5597-chua-explosives-indicator-17896-activation-ui-smoke-review","Quest inventory/objective coverage","P0","open","tracker_refinement","quest 5597 Dregs and Thieves","content_retail_completeness_quest_world_dependencies.csv","quest_id=5597;dependency_source=QuestObjective.worldLocationsIdIndicator;dependency_type=objective_indicator_location;dependency_id=8256:worldLocationsIdIndicator00:17896;objective_id=8256;objective_type=32;source_slot=worldLocationsIdIndicator00;world_location_id=17896;world_id=870;world_zone_id=1218;quest_direction_id=;quest_direction_entry_id=;target_group_id=;target_group_type=;target_group_data=;prerequisite_id=","Quest2 5597;QuestObjective 8256;WorldLocation2 17896;WorldZone 1218 Bloodstone Canyon;VirtualCollect 364;TargetGroup 4373;Creature2 24286 Chua Explosives;world 870;Q5596;Q5604","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_queue.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5597.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game/Entity;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md","High for emulator indicator spawn and virtual collect credit; Blocked for client map/activation UI smoke","Q5597 objective 8256 indicator worldLocationsIdIndicator00 points to WorldLocation2 17896 in world 870, WorldZone 1218 Bloodstone Canyon at -7133.34,-994.206,-856.854 with radius 55 and all phases 4294967295. Objective 8256 is the build 16042 VirtualCollect data 364 count 6, and TargetGroup 4373 contains Creature2 24286 Chua Explosives. CrimsonIsleMapScript fallback-spawns 30 reviewed Chua Explosives placements in world 870 area 1218; focused tests load all 30 fallbacks, credit virtual item 364 on activation while Q5597 is accepted, remove each entity, reject missing-quest activation, and avoid duplicate credit. Q5597 remains not retail complete pending live build 16042 proof that indicator 17896 appears/routes correctly, Chua Explosives activation/objective UI smoke, density/placement confirmation, despawn/respawn visual state, duplicate/negative cases, Mondo dialog, reward/achievement UI, and end-to-end Q5596->Q5597->Q5604 smoke.","Keep Q5597 not retail complete; capture client/manual indicator 17896 visibility and routing, Chua Explosives activation/objective UI, density/placement, despawn/respawn visual state, duplicate/negative cases, Mondo dialog, reward/achievement UI, and full Q5596->Q5597->Q5604 smoke.","Generator/test update 2026-06-19; CreateBundleOnly worksheet artifacts/blocker_evidence/20260619-154422-quest-5597-chua-explosives-indicator-17896-activation-ui-smoke-review."
"2026-06-19-q5597-mondo-receiver-location-dialog-completion-smoke-review","Quest inventory/objective coverage","P0","open","tracker_refinement","quest 5597 Dregs and Thieves","content_retail_completeness_quest_world_dependencies.csv","quest_id=5597;dependency_source=Quest2.WorldLocation2IdReceiver;dependency_type=quest_receiver_location;dependency_id=17803;objective_id=;objective_type=;source_slot=WorldLocation2IdReceiver;world_location_id=17803;world_id=870;world_zone_id=1227;quest_direction_id=;quest_direction_entry_id=;target_group_id=;target_group_type=;target_group_data=;prerequisite_id=","Quest2 5597;WorldLocation2 17803;WorldZone 1227 Bloodstone Canyon;world 870;Creature2 24187 Mondo Zax;QuestIdGiven 5597;QuestIdReceive 5597;Quest2Reward 3000/5236;Achievement 4134;Q5596;Q5604","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_queue.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5596.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5597.cs;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/CrimsonIsleQuestChainTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md","High for emulator receiver spawn, accept/complete gates, rewards, achievement, and follow-up; Blocked for client dialog/UI smoke","Q5597 primary receiver WorldLocation2 17803 is the build 16042 Mondo Zax receiver in world 870 WorldZone 1227 Bloodstone Canyon at -7662.75,-942.948,-671.901 with radius 1.76183 and all phases 4294967295. CrimsonIsleMapScript fallback-spawns Creature2 24187 Mondo Zax at that location, matching reviewed DataMapping source_coordinate_id 15089. Creature2 24187 carries QuestIdGiven and QuestIdReceive 5597; focused QuestManager tests require visible Mondo for Q5597 accept and completion, grant Quest2Reward rows 3000 and 5236, and update Bloodstone achievement 4134. Q5596 grants Q5597 and Q5597 grants Q5604. Q5597 remains not retail complete pending live build 16042 Mondo accept/completion dialog smoke, receiver placement/subzone/phase visibility proof, reward UI and inventory persistence, achievement UI/progression, duplicate/negative cases, and Q5596->Q5597->Q5604 smoke.","Keep Q5597 not retail complete; capture client/manual receiver placement/subzone/phase visibility, Mondo accept and completion dialog, reward/inventory, achievement UI, duplicate/negative cases, and full Q5596->Q5597->Q5604 smoke.","Generator/test update 2026-06-19; CreateBundleOnly worksheet artifacts/blocker_evidence/20260619-153253-quest-5597-mondo-receiver-location-dialog-completion-smoke-review."
"2026-06-19-q5597-crimson-isle-world-zone-map-visibility-smoke-review","Quest inventory/objective coverage","P0","open","tracker_refinement","quest 5597 Dregs and Thieves","content_retail_completeness_quest_world_dependencies.csv","quest_id=5597;dependency_source=Quest2.worldZoneId;dependency_type=quest_world_zone;dependency_id=622;objective_id=;objective_type=;source_slot=;world_location_id=;world_id=;world_zone_id=622;quest_direction_id=;quest_direction_entry_id=;target_group_id=;target_group_type=;target_group_data=;prerequisite_id=","Quest2 5597;WorldZone 622 Crimson Isle;world 870;WorldLocation2 17803;Creature2 24187 Mondo Zax;Creature2 24286 Chua Explosives;QuestObjective 8256;VirtualCollect 364;Q5596;Q5604","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_queue.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Tools/DataMapping/output/world_zone_client_map.csv;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5597.cs;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quests/CrimsonIsleQuestChainTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md","High for emulator map-surface assets; Blocked for client visibility and map guidance smoke","Q5597 Quest2.worldZoneId 622 is the current Crimson Isle world-zone dependency. Current emulator evidence proves the server-owned Crimson Isle world 870 map surface has the Q5597 assets: CrimsonIsleMapScript loads for world 870, focused tests spawn Mondo Zax 24187 at receiver WorldLocation2 17803, and the reviewed 30 Chua Explosives 24286 placements back QuestObjective 8256 VirtualCollect 364. Q5597 remains not retail complete pending live build 16042 proof that WorldZone 622 activates and displays correctly in the client, route/path-arrow or map guidance is correct, episode/zone ordering is correct, Mondo accept/complete dialog and Chua objective UI are visible, rewards and achievements present correctly, duplicate/negative cases behave correctly, and the Q5596->Q5597->Q5604 flow smokes end to end.","Keep Q5597 not retail complete; capture client/manual map-zone activation, visibility, guidance, dialog, objective UI, rewards, achievements, duplicate/negative cases, and full Q5596->Q5597->Q5604 smoke.","Generator/test update 2026-06-19; CreateBundleOnly worksheet artifacts/blocker_evidence/20260619-152429-quest-5597-crimson-isle-world-zone-map-visibility-smoke-review."
"2026-06-13-q3486-objective-reward-audit","Quest inventory/objective coverage","P0","open","tracker_refinement","quest 3486 Empowered Tower","content_retail_completeness_quest_objective_evidence.csv","quest_id=3486;jabbithole_quest_objective_id=436","QuestObjective 4987;source_reward 5319;Item2 1377;source game_reward_id 2147;canonical Quest2Reward 1707","Decomp/Analysis/coverage/content_retail_completeness_quest_objective_evidence.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_reward_evidence.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_objective_evidence.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_reward_evidence.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/quest_reward_item_map.csv;Tools/DataMapping/output/quest_reward_client_map.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3486EmpoweredTower.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsQuestChainTests.cs","Mapped objective bridge; Blocked reward source-id collision","Objective 436 is reviewed to QuestObjective 4987 as tracker-only evidence. Reward source id 2147 collides with a current Q3486 Quest2Reward row for another item, so Q3486 remains blocked for reward provenance plus panel dialog, crystal behavior, guardian combat, TargetGroup 11924 review, rewards, achievements, persistence, and chain smoke.","Keep Q3486 not retail complete; resolve reward provenance collision and capture client smoke before any status upgrade.","Read-only subagent audit confirmed tracker-only objective bridge and true reward collision."
"2026-06-13-q3777-objective-reward-audit","Quest inventory/objective coverage","P0","open","tracker_refinement","quest 3777 By Leaps and Bounds","content_retail_completeness_quest_objective_evidence.csv","quest_id=3777;jabbithole_quest_objective_id=410","QuestObjective 5075;source_reward 5284;Item2 28015;source game_reward_id 2389;canonical Quest2Reward 8867","Decomp/Analysis/coverage/content_retail_completeness_quest_objective_evidence.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_reward_evidence.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_objective_evidence.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_reward_evidence.csv;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/quest_reward_item_map.csv;Tools/DataMapping/output/quest_reward_client_map.csv;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Source/NexusForever.Script.Main/Quests/NorthernWilds/Q3777ByLeapsAndBounds.cs","Mapped objective bridge and stale source reward tuple","Objective 410 is reviewed to QuestObjective 5075 and source_reward 5284 maps by item tuple to canonical Quest2Reward 8867. Q3777 remains blocked by Denner dialog smoke, Loftite Crystal collision, respawn/despawn behavior, reward UI, persistence, achievement UI, zone visibility, and end-to-end client smoke.","Keep Q3777 not retail complete; validate dialog, crystal behavior, rewards, and achievements with focused smoke.","Read-only subagent audit confirmed mapper order-zero issue and runtime-tested EnterZone path."
"2026-06-13-next-slice-reward-source-id-sweep","Rewards, loot, achievements, and progression hooks","P0","open","tracker_refinement","quests 3479 3486 3777 reward evidence","content_retail_completeness_quest_reward_evidence.csv","quest_id=3479;source_reward_id=5289","Q3479 5289:13327:2477->8569;Q3486 5319:1377:2147->1707;Q3777 5284:28015:2389->8867","Decomp/Analysis/coverage/content_retail_completeness_quest_reward_evidence.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_rewards.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv","Decomp/Analysis/coverage/content_retail_completeness_quest_reward_evidence.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_rewards.csv;Tools/DataMapping/output/quest_reward_item_map.csv;Tools/DataMapping/output/quest_reward_client_map.csv","Mapped stale source IDs for Q3479/Q3777; Blocked same-quest collision for Q3486","Q3479 source_reward 5289 and Q3777 source_reward 5284 are stale source game_reward_id values with canonical item tuple matches. Q3486 source_reward 5319 remains blocked because source id 2147 collides with a different current Q3486 reward row.","Treat stale source IDs as provenance aliases only; keep Q3486 reward collision blocked pending source review.","Read-only reward sweep found one non-queue Q4520 mismatch for later review."
"2026-06-13-q3479-q3480-runtime-verified-smoke-blockers-audit","Quest inventory/objective coverage","P0","open","runtime_verified_smoke_blockers","quests 3479 From the Wreckage and 3480 Reporting for Duty","content_retail_completeness_next_slice_blockers.csv","slice_id=quest-3479","Q3479 objectives 4467/4564;Q3480 objectives 4470/4565;receiver 7726;alt receiver 12354/prereq 29356;achievements 1432/1433/1434/5327","Decomp/Analysis/coverage/content_retail_completeness_quest_objectives.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_rewards.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_achievements.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv","Decomp/Analysis/coverage/content_retail_completeness_next_slice_queue.csv;Decomp/Analysis/coverage/content_retail_completeness_next_slice_blockers.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_objectives.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_world_dependencies.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_rewards.csv;Decomp/Analysis/coverage/content_retail_completeness_quest_achievements.csv;Source/NexusForever.Script.Main/Quests/NorthernWilds/NorthernWildsMapScript.cs;Source/NexusForever.Game.Tests/Quests/NorthernWildsBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs","Verified runtime objective/reward/achievement paths; Blocked retail smoke","Q3479/Q3480 survivor, shared-yeti, reward, and achievement paths have focused runtime evidence, but client-visible CSI activation, live combat, respawn, tap/threat behavior, Deadeye dialog, alternate receiver routing, reward UI, inventory persistence, achievement UI/progression, and negative end-to-end cases remain blocked.","Run Q3479/Q3480 client smoke bundles before changing completion status; keep stale reward source 2477 as provenance-only.","Subagent validation command reported current content-retail validator passing before edits."
