quest_id,quest_title,quest_bucket,quest_completion_status,quest_link_status,reward_kind,source_map,source_reward_id,jabbithole_quest_id,jabbithole_quest_name,client_quest_name,jabbithole_reward_object_id,client_reward_object_id,jabbithole_reward_name,client_reward_name,game_reward_id,canonical_reward_ids,canonical_reward_match_status,amount,fixed_reward,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
1177,Home on the Range,no_objectives,not_retail_complete,current_quest,currency,quest_reward_currency_map.csv,84,431,Home on the Range,Home on the Range,1,1,Cash,,,,,32,true,8,datamapping_jabbithole_cash_reward_inline_pending_amount_smoke,Tools/DataMapping/output/quest_reward_currency_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/CurrencyType.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_currency_map.csv source_reward_id 84 maps Quest2 1177 currency reward from Jabbithole currency 1 (Cash) to CurrencyType 1 amount 32 fixed_reward=true as an inline credits reward. Retail completion needs cash amount/formula reconciliation, runtime credit grant and persistence, reward UI presentation, and client quest smoke."
2417,Flamewing Orders,no_objectives,not_retail_complete,current_quest,currency,quest_reward_currency_map.csv,103,459,Flamewing Orders,,1,1,Cash,,,,,121,true,8,datamapping_jabbithole_cash_reward_inline_pending_amount_smoke,Tools/DataMapping/output/quest_reward_currency_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/CurrencyType.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_currency_map.csv source_reward_id 103 maps Quest2 2417 currency reward from Jabbithole currency 1 (Cash) to CurrencyType 1 amount 121 fixed_reward=true as an inline credits reward. Retail completion needs cash amount/formula reconciliation, runtime credit grant and persistence, reward UI presentation, and client quest smoke."
2563,[DEPRECATED] Lopp Love Horns!,generic_table_driven,not_retail_complete,current_quest,currency,quest_reward_currency_map.csv,16,298,[DEPRECATED] Lopp Love Horns!,,1,1,Cash,,,,,1063,true,8,datamapping_jabbithole_cash_reward_inline_pending_amount_smoke,Tools/DataMapping/output/quest_reward_currency_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/CurrencyType.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_currency_map.csv source_reward_id 16 maps Quest2 2563 currency reward from Jabbithole currency 1 (Cash) to CurrencyType 1 amount 1063 fixed_reward=true as an inline credits reward. Retail completion needs cash amount/formula reconciliation, runtime credit grant and persistence, reward UI presentation, and client quest smoke."
2581,Bringing in the Harvest,generic_table_driven,not_retail_complete,current_quest,currency,quest_reward_currency_map.csv,360,756,Bringing in the Harvest,Bringing in the Harvest,1,1,Cash,,,,,1861,true,7,datamapping_jabbithole_cash_reward_inline_pending_amount_smoke,Tools/DataMapping/output/quest_reward_currency_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/CurrencyType.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_currency_map.csv source_reward_id 360 maps Quest2 2581 currency reward from Jabbithole currency 1 (Cash) to CurrencyType 1 amount 1861 fixed_reward=true as an inline credits reward. Retail completion needs cash amount/formula reconciliation, runtime credit grant and persistence, reward UI presentation, and client quest smoke."
2581,Bringing in the Harvest,generic_table_driven,not_retail_complete,current_quest,reputation,quest_reward_reputation_map.csv,154,756,Bringing in the Harvest,Bringing in the Harvest,7,916,Auroria Province,Auroria Province,,,,226,true,7,datamapping_jabbithole_reputation_reward_matched_pending_amount_smoke,Tools/DataMapping/output/quest_reward_reputation_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Faction2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_reputation_map.csv source_reward_id 154 maps Quest2 2581 reputation reward from Jabbithole reputation 7 (Auroria Province) to Faction2 916 (Auroria Province) amount 226 fixed_reward=true. Retail completion needs fixed/choice semantics, runtime grant and persistence, reward UI presentation, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,currency,quest_reward_currency_map.csv,376,772,Emergency Broadcast,Emergency Broadcast,1,1,Cash,,,,,465,true,7,datamapping_jabbithole_cash_reward_inline_pending_amount_smoke,Tools/DataMapping/output/quest_reward_currency_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/CurrencyType.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_currency_map.csv source_reward_id 376 maps Quest2 2599 currency reward from Jabbithole currency 1 (Cash) to CurrencyType 1 amount 465 fixed_reward=true as an inline credits reward. Retail completion needs cash amount/formula reconciliation, runtime credit grant and persistence, reward UI presentation, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,reputation,quest_reward_reputation_map.csv,168,772,Emergency Broadcast,Emergency Broadcast,7,916,Auroria Province,Auroria Province,,,,113,true,7,datamapping_jabbithole_reputation_reward_matched_pending_amount_smoke,Tools/DataMapping/output/quest_reward_reputation_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Faction2.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_reputation_map.csv source_reward_id 168 maps Quest2 2599 reputation reward from Jabbithole reputation 7 (Auroria Province) to Faction2 916 (Auroria Province) amount 113 fixed_reward=true. Retail completion needs fixed/choice semantics, runtime grant and persistence, reward UI presentation, and client quest smoke."
2769,[DEPRECATED] A Lost Treasure,no_objectives,not_retail_complete,current_quest,currency,quest_reward_currency_map.csv,69,396,[DEPRECATED] A Lost Treasure,,1,1,Cash,,,,,1,true,8,datamapping_jabbithole_cash_reward_inline_pending_amount_smoke,Tools/DataMapping/output/quest_reward_currency_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/CurrencyType.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_currency_map.csv source_reward_id 69 maps Quest2 2769 currency reward from Jabbithole currency 1 (Cash) to CurrencyType 1 amount 1 fixed_reward=true as an inline credits reward. Retail completion needs cash amount/formula reconciliation, runtime credit grant and persistence, reward UI presentation, and client quest smoke."
3142,[Discovery Prototype] Broken Weapon,generic_table_driven,not_retail_complete,current_quest,currency,quest_reward_currency_map.csv,32,333,[Discovery Prototype] Broken Weapon,[Discovery Prototype] Broken Weapon,1,1,Cash,,,,,1,true,8,datamapping_jabbithole_cash_reward_inline_pending_amount_smoke,Tools/DataMapping/output/quest_reward_currency_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/CurrencyType.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_currency_map.csv source_reward_id 32 maps Quest2 3142 currency reward from Jabbithole currency 1 (Cash) to CurrencyType 1 amount 1 fixed_reward=true as an inline credits reward. Retail completion needs cash amount/formula reconciliation, runtime credit grant and persistence, reward UI presentation, and client quest smoke."
3147,Knowledge is its Own Reward,no_objectives,not_retail_complete,current_quest,currency,quest_reward_currency_map.csv,35,337,Knowledge is its Own Reward,,1,1,Cash,,,,,553,true,8,datamapping_jabbithole_cash_reward_inline_pending_amount_smoke,Tools/DataMapping/output/quest_reward_currency_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/CurrencyType.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_reward_currency_map.csv source_reward_id 35 maps Quest2 3147 currency reward from Jabbithole currency 1 (Cash) to CurrencyType 1 amount 553 fixed_reward=true as an inline credits reward. Retail completion needs cash amount/formula reconciliation, runtime credit grant and persistence, reward UI presentation, and client quest smoke."
