relation_map,relation_type,source_relation_id,jabbithole_creature_id,quest2_id,source_name,chosen_creature2_id,decision,reason,reviewer,reviewed_at
creature_quest_map,starter,821,435,3480,Commander Durek,11061,reviewed,q3480_durek_starter_review: Creature2 11061 carries QuestIdGiven 3480; Jabbithole relation 821 and source_coordinate_id 40899 place source creature 435 at the starter-side Durek location; NorthernWildsMapScript and focused quest tests require visible 11061 for Q3480 accept; unblocks Q3480 starter relation 821,codex,2026-06-17
creature_quest_map,starter,69,435,3741,Commander Durek,11066,reviewed,q3741_lands_reach_durek_review: Creature2 11066 carries QuestIdGiven 3741; Quest2/WorldLocation2 7727 and NorthernWildsMapScript cover the Land's Reach Durek route; focused quest reward and cache tests require visible 11066; unblocks Q3741 starter relation 69,codex,2026-06-17
creature_quest_map,finisher,53,435,3741,Commander Durek,11066,reviewed,q3741_lands_reach_durek_review: Creature2 11066 carries QuestIdReceive 3741; Quest2/WorldLocation2 7727 and NorthernWildsMapScript cover the Land's Reach Durek route; focused QuestManager reward and achievement tests complete at visible 11066; unblocks Q3741 finisher relation 53,codex,2026-06-17
creature_quest_map,finisher,99,435,3783,Commander Durek,11066,reviewed,q3783_lands_reach_durek_review: Creature2 11066 carries QuestIdReceive 3783; Quest2 receiver WorldLocation2 7727 and NorthernWildsMapScript cover Land's Reach Durek; focused no-objective turn-in and reward tests complete Q3783 at visible 11066; unblocks Q3783 finisher relation 99,codex,2026-06-17
creature_quest_map,starter,166,435,3797,Commander Durek,11066,reviewed,q3797_lands_reach_durek_review: Creature2 11066 carries QuestIdGiven 3797; Quest2 receiver WorldLocation2 7727 and NorthernWildsMapScript cover Land's Reach Durek; focused quest accept tests require visible 11066 with Q3486 prerequisite; unblocks Q3797 starter relation 166,codex,2026-06-17
creature_quest_map,finisher,1693,435,3797,Commander Durek,11066,reviewed,q3797_lands_reach_durek_review: Creature2 11066 carries QuestIdReceive 3797; Quest2 receiver WorldLocation2 7727 and NorthernWildsMapScript cover Land's Reach Durek; focused reward and achievement tests complete Q3797 at visible 11066; unblocks Q3797 finisher relation 1693,codex,2026-06-17
creature_quest_map,starter,1231,435,3886,Commander Durek,11066,reviewed,q3886_lands_reach_durek_review: Creature2 11066 carries QuestIdGiven 3886; Quest2 receiver WorldLocation2 7727 and NorthernWildsMapScript cover Land's Reach Durek; focused quest tests require visible 11066 for Q3886 accept; unblocks Q3886 starter relation 1231,codex,2026-06-17
creature_quest_map,finisher,102,435,3886,Commander Durek,11066,reviewed,q3886_lands_reach_durek_review: Creature2 11066 carries QuestIdReceive 3886; Quest2 receiver WorldLocation2 7727 and NorthernWildsMapScript cover Land's Reach Durek; Q3886 script and QuestManager tests complete at visible 11066; unblocks Q3886 finisher relation 102,codex,2026-06-17
creature_quest_map,finisher,37,34,3668,Bartol Sunward,12737,reviewed,q3668_bartol_finisher_review: Creature2 12737 is the Northern Wilds Q3668 NPC and carries QuestIdReceive 3668; Quest2 receiver WorldLocation2 9121 matches Jabbithole source_coordinate_id 159; NorthernWildsMapScript and focused QuestManager tests complete Q3668 at visible 12737; keeps Arkship duplicate 34302 out of the global bridge,codex,2026-06-17
creature_quest_map,objective,43,1043,3668,Scientist Lusk,12484,reviewed,q3668_lusk_objective_review: QuestObjective 4744 is TalkTo data 12484; Creature2 12484 is the Northern Wilds Q3668 NPC; WorldLocation2 8857 matches Jabbithole source_coordinate_id 4272; NorthernWildsMapScript and focused interaction tests cover visible 12484; keeps Arkship duplicate 34299 out of the global bridge,codex,2026-06-17
