"evidenceBundleId","targetQuestion","featureArea","requiredRuntime","clientBuild","serverConfig","captureRoot","commands","logs","packetCapture","relatedNativeEvidence","resultStatus","findingPath","blockers","lastReviewed"
"LIVE-F010-CLIENT062A-SENDER","Which gameplay action sends Client0x062A and what does the uint32 mean?","F-010 movement or client diagnostic opcode","Local NexusForever runtime with Trace logging and WildStar client","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/F-010-client062A","Start-BlockerEvidenceHarness.ps1; capture scenario; compare against ClientWorldOpcodeRegister_MovementSpline","","","OPC-CLIENT-062A","Blocked","Decomp/Analysis/coverage/LATEST_COVERAGE_SUMMARY.md","Static registration proves one uint32 only; sender semantics need live sniff or stronger owner trace","2026-06-10"
"LIVE-OPCCLIENTCLIENT0X00C800C8","What runtime action proves or rejects the semantic owner for Client0x00C8 (0x00C8)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x00c800c8","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X00C8-00C8","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X00ED00ED","What runtime action proves or rejects the semantic owner for Client0x00ED (0x00ED)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x00ed00ed","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X00ED-00ED","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X011B011B","What runtime action proves or rejects the semantic owner for Client0x011B (0x011B)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x011b011b","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X011B-011B","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X011D011D","What runtime action proves or rejects the semantic owner for Client0x011D (0x011D)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x011d011d","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X011D-011D","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X012D012D","What runtime action proves or rejects the semantic owner for Client0x012D (0x012D)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x012d012d","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X012D-012D","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X05500550","What runtime action proves or rejects the semantic owner for Client0x0550 (0x0550)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x05500550","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X0550-0550","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X06340634","What runtime action proves or rejects the semantic owner for Client0x0634 (0x0634)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x06340634","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X0634-0634","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X063E063E","What runtime action proves or rejects the semantic owner for Client0x063E (0x063E)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x063e063e","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X063E-063E","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X07010701","What runtime action proves or rejects the semantic owner for Client0x0701 (0x0701)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x07010701","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X0701-0701","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"LIVE-OPCCLIENTCLIENT0X07E307E3","What runtime action proves or rejects the semantic owner for Client0x07E3 (0x07E3)?","Opcode semantic blocker","Local NexusForever runtime with Trace logging and WildStar client when static evidence is insufficient","16042","Tools/Setup/Start-NexusForeverLocal.ps1","artifacts/live-evidence/opcclientclient0x07e307e3","Start-BlockerEvidenceHarness.ps1; run focused client scenario; compare logs/captures with native provenance row","","","OPC-CLIENT-CLIENT0X07E3-07E3","Blocked","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
